mtxname,k,bands,r,genPairs_time,HC_time,Format_Conversion_time,LeSpGEMM_VLength_time,mixed_acc,error
nemeth25,160,40,4,770.482,287.633,77.127,13.5202,dense clusters: 1029 / 1029 (100%),
nemeth26,96,24,4,592.613,269.365,78.077,13.0388,dense clusters: 1021 / 1021 (100%),
lhr71c,96,16,6,588.987,143.87,212.172,11.4404,dense clusters: 266 / 50301 (0.528817%),
sparsine,192,64,3,366.151,480.481,556.828,77.2647,dense clusters: 0 / 6493 (0%),
delaunay_n18,192,64,3,1735.27,911.304,478.144,13.376,dense clusters: 3 / 40436 (0.00741913%),
mi2010,192,64,3,2338.7,1117.71,514.522,16.082,dense clusters: 46 / 54066 (0.0850812%),
pkustk09,224,56,4,995.095,244.643,117.052,6.84946,dense clusters: 813 / 3111 (26.1331%),
dblp-2010,192,64,3,6129.64,1019.23,306.994,35.9943,dense clusters: 40863 / 85573 (47.7522%),
coAuthorsCiteseer,224,56,4,2528.26,556.574,309.571,37.1193,dense clusters: 548 / 68221 (0.803272%),
nv1,192,64,3,1181.47,697.555,408.523,35.1104,dense clusters: 0 / 8240 (0%),
d_pretok,96,32,3,982.774,807.286,443.001,16.5274,dense clusters: 0 / 20349 (0%),
Zd_Jac2,192,64,3,1099.66,649.908,172.144,34.1714,dense clusters: 975 / 8165 (11.9412%),
2cubes_sphere,256,64,4,756.053,611.03,443.332,20.9141,dense clusters: 185 / 12744 (1.45166%),
mo2010,192,64,3,2474.98,1189.41,543.764,18.7162,dense clusters: 16 / 56880 (0.0281294%),
qa8fm,96,24,4,250.141,342.45,329.505,18.0473,dense clusters: 11 / 8687 (0.126626%),
qa8fk,96,24,4,250.902,341.82,330.396,18.1852,dense clusters: 11 / 8687 (0.126626%),
ns3Da,128,32,4,315.009,160.488,181.911,28.9854,dense clusters: 0 / 2279 (0%),
av41092,96,32,3,470.178,143.2,170.69,29.5058,dense clusters: 83 / 10139 (0.818621%),
turon_m,96,32,3,1112.75,840.157,458.45,17.1154,dense clusters: 0 / 21289 (0%),
ASIC_680ks,256,64,4,4492.57,1021.18,826.966,29.5133,dense clusters: 27116 / 213670 (12.6906%),
gas_sensor,96,24,4,257.998,314.395,331.756,20.4488,dense clusters: 0 / 8400 (0%),
ny2010,192,64,3,2367.18,1201.16,567.362,17.1706,dense clusters: 6 / 56645 (0.0105923%),
Zd_Jac6,192,64,3,891.623,542.831,181.198,41.731,dense clusters: 934 / 8085 (11.5523%),
venkat25,192,64,3,1829.13,471.202,167.149,7.34599,dense clusters: 1175 / 8347 (14.0769%),
venkat50,256,64,4,1429.07,349.156,165.277,7.15716,dense clusters: 1220 / 8659 (14.0894%),
venkat01,96,32,3,979.271,410.653,181.057,7.24626,dense clusters: 1189 / 8523 (13.9505%),
majorbasis,32,8,4,273.218,118.374,353.5,10.2737,dense clusters: 0 / 61508 (0%),
crashbasis,64,16,4,460.662,179.169,326.338,10.0993,dense clusters: 0 / 47618 (0%),
pcrystk03,192,64,3,846.655,352.865,190.605,14.0667,dense clusters: 1666 / 2372 (70.2361%),
crystk03,128,32,4,309.785,134.465,176.599,13.678,dense clusters: 1718 / 2524 (68.0666%),
Lin,64,16,4,472.348,120.772,754.591,16.8588,dense clusters: 0 / 231895 (0%),
oh2010,192,64,3,2491.06,1254.91,575.49,17.8967,dense clusters: 9 / 59799 (0.0150504%),
bbmat,96,32,3,1057.93,385.498,234.969,17.9265,dense clusters: 3163 / 6417 (49.2909%),
invextr1_new,192,64,3,989.928,546.105,223.715,40.9179,dense clusters: 0 / 3201 (0%),
Goodwin_071,192,48,4,926.11,468.012,192.201,12.0564,dense clusters: 1136 / 8078 (14.0629%),
TSOPF_FS_b162_c3,192,48,4,1253.52,338.128,176.246,321.089,dense clusters: 2001 / 13273 (15.0757%),
cfd1,192,64,3,924.097,702.794,361.337,21.6617,dense clusters: 426 / 7820 (5.44757%),
com-Amazon,192,64,3,3807.3,1699.85,540.94,40.7435,dense clusters: 3 / 69180 (0.00433651%),
appu,96,16,6,34.561,5.484,846.003,290.448,dense clusters: 13996 / 13997 (99.9929%),
rajat21,128,32,4,2560.49,1423.78,378.328,13562.7,dense clusters: 39498 / 136692 (28.8956%),
power9,64,16,4,363.169,133.58,507.135,32.4865,dense clusters: 0 / 39913 (0%),
loc-Gowalla,96,24,4,1098.63,498.44,798.708,1159.67,dense clusters: 611 / 122882 (0.497225%),
Zd_Jac3,192,64,3,1366.19,729.142,200.063,42.5587,dense clusters: 1105 / 8165 (13.5334%),
opt1,64,16,4,1910.13,152.836,151.911,23.12,dense clusters: 1246 / 1712 (72.7804%),
trdheim,224,56,4,2925.64,368.033,120.228,13.0367,dense clusters: 2200 / 2314 (95.0735%),
rajat24,192,64,3,6652.99,5934.97,481.337,13621.6,dense clusters: 17443 / 55147 (31.63%),
coAuthorsDBLP,160,32,5,1636.49,377.494,668.502,71.3267,dense clusters: 1141 / 157792 (0.723104%),
TSOPF_FS_b39_c19,96,16,6,318.022,109.178,339.8,1736.63,dense clusters: 7234 / 45080 (16.047%),
mixtank_new,96,32,3,531.18,383.617,230.158,47.6929,dense clusters: 0 / 3069 (0%),
